"ensembl_peptide_id_version"	"external_gene_name"
"472"	"ENSXETP00000036788.3"	"zmynd11"
"473"	"ENSXETP00000062498.1"	"srsf12"
"474"	"ENSXETP00000011851.3"	"srsf12"
"475"	"ENSXETP00000001739.3"	"sec23b"
"476"	"ENSXETP00000046127.3"	"nfkb1"
"477"	"ENSXETP00000027227.3"	"slc17a9"
"478"	"ENSXETP00000017166.3"	"tfb1m"
"479"	"ENSXETP00000024160.3"	"polr3gl"
"480"	"ENSXETP00000024161.2"	"polr3gl"
"481"	"ENSXETP00000019123.3"	"ppm1l"
"482"	"ENSXETP00000009061.2"	"mocs2"
"483"	"ENSXETP00000011859.2"	"pm20d2"
"484"	"ENSXETP00000015412.4"	"cep57"
"485"	"ENSXETP00000047853.3"	""
"486"	""	"insm1"
"487"	"ENSXETP00000009062.3"	"itga2"
"488"	"ENSXETP00000019107.3"	"kpna4"
"489"	"ENSXETP00000036248.3"	"zc3h7a"
"490"	"ENSXETP00000011876.3"	""
"491"	"ENSXETP00000028313.3"	"pik3r2"
"492"	"ENSXETP00000031446.3"	"ca11"
"493"	"ENSXETP00000005751.3"	"slc37a3"
"494"	"ENSXETP00000034112.3"	"ninj1"
"495"	"ENSXETP00000020680.3"	"caap1"
"496"	"ENSXETP00000062976.1"	""
"497"	"ENSXETP00000015416.3"	"mtmr2"
"498"	"ENSXETP00000063844.1"	"CARD19"
"499"	"ENSXETP00000059592.1"	"CARD19"
"500"	"ENSXETP00000017167.1"	""
"501"	"ENSXETP00000059170.1"	"susd3"
"502"	"ENSXETP00000047843.3"	""
"503"	"ENSXETP00000054692.2"	""
"504"	"ENSXETP00000058437.1"	"tlk2"
"505"	"ENSXETP00000017169.3"	"tlk2"
"506"	"ENSXETP00000048354.2"	""
"507"	"ENSXETP00000020681.3"	"elavl2"
"508"	"ENSXETP00000020683.3"	"elavl2"
"509"	"ENSXETP00000060357.1"	""
"510"	"ENSXETP00000021306.2"	""
"511"	"ENSXETP00000005753.3"	"rab19"
"512"	"ENSXETP00000026099.3"	""
"513"	"ENSXETP00000019554.3"	"lrp6"
"514"	"ENSXETP00000026100.2"	"iglv5-48"
"515"	"ENSXETP00000009067.3"	"itga1"
"516"	"ENSXETP00000011484.3"	"marcksl1"
"517"	"ENSXETP00000054287.1"	"selenok"
"518"	"ENSXETP00000058649.1"	"FGD3"
"519"	"ENSXETP00000061662.1"	"alpi.2"
"520"	"ENSXETP00000061841.1"	"CLIP4"
"521"	"ENSXETP00000030519.1"	""
"522"	"ENSXETP00000030816.3"	"dopey2"
"523"	"ENSXETP00000030821.2"	"dopey2"
"524"	"ENSXETP00000011485.3"	"bsdc1"
"525"	"ENSXETP00000011486.3"	"bsdc1"
"526"	"ENSXETP00000015463.3"	"PRMT9"
"527"	"ENSXETP00000055135.1"	"PRMT9"
"528"	"ENSXETP00000045954.3"	"ift172"
"529"	"ENSXETP00000005731.3"	"mkrn1"
"530"	"ENSXETP00000063727.1"	""
"531"	"ENSXETP00000059518.1"	""
"532"	"ENSXETP00000046388.3"	"DENND2A"
"533"	"ENSXETP00000009654.3"	"zdhhc13"
"534"	"ENSXETP00000046134.3"	"slc39a8"
"535"	"ENSXETP00000012020.3"	"dmrta1"
"536"	"ENSXETP00000015464.3"	"tmem184c"
"537"	"ENSXETP00000011702.2"	"XB-GENE-5961850"
"538"	"ENSXETP00000012023.3"	"cdkn2b"
"539"	"ENSXETP00000027894.3"	"eif5"
"540"	"ENSXETP00000012027.3"	"mtap"
"541"	"ENSXETP00000056836.2"	"bank1"
"542"	"ENSXETP00000027898.3"	"mark3"
"543"	"ENSXETP00000051652.3"	"myh1"
"544"	"ENSXETP00000051661.3"	"myh1"
"545"	"ENSXETP00000062521.1"	"vipr2"
"546"	"ENSXETP00000024402.3"	"ppp3ca"
"547"	"ENSXETP00000030835.3"	"cbr1"
"548"	"ENSXETP00000061362.1"	"C2orf71"
"549"	"ENSXETP00000063350.1"	"C2orf71"
"550"	"ENSXETP00000058122.2"	"bcl2l14"
"551"	"ENSXETP00000059841.1"	""
"552"	"ENSXETP00000030562.3"	"tle1"
"553"	"ENSXETP00000030566.3"	"tle1"
"554"	"ENSXETP00000054341.1"	"ifi30"
"555"	"ENSXETP00000059736.1"	"ifi30"
"556"	"ENSXETP00000022121.3"	"sel1l"
"557"	"ENSXETP00000001750.3"	"dusp12"
"558"	"ENSXETP00000036253.2"	"txndc11"
"559"	"ENSXETP00000029460.3"	""
"560"	"ENSXETP00000030837.3"	"cbr3"
"561"	"ENSXETP00000058507.1"	"XB-GENE-5772074"
"562"	"ENSXETP00000038670.3"	"XB-GENE-5772074"
"563"	"ENSXETP00000019556.3"	"etv6"
